detecte_le,score,titre,entreprise,ville,source,publiee_le,url
2026-07-08 17:37,0,Chargé(e) Marketing et offres en alternance F/H,KERSHIP,"Concarneau, Brittany, France",linkedin,2026-07-01,https://www.linkedin.com/jobs/view/4435894500
2026-07-08 17:37,0,Développeur Java IA (H/F),SII Group Belgium,"Brest, Brittany, France",linkedin,nan,https://www.linkedin.com/jobs/view/4436851025
2026-07-08 17:37,0,"CONSEILLER ENTREPRISE ""TRANSITION NUMÉRIQUE & IA"" F/H",CCI Finistère,"Brest, Brittany, France",linkedin,nan,https://www.linkedin.com/jobs/view/4438168973
2026-07-08 17:37,0,Consultant transformation digitale en alternance - F/H Brest,Accenture France,"Brest, Brittany, France",linkedin,nan,https://www.linkedin.com/jobs/view/4436875112
2026-07-08 17:37,0,Fullstack Software Engineer (x/f/m) - Care Expert Copilot,Alan,"Brest, Brittany, France",linkedin,nan,https://www.linkedin.com/jobs/view/4437154701
2026-07-08 17:37,0,Technicien.ne Support Ingénierie (F/H),Stryker,"Brest, Brittany, France",linkedin,nan,https://www.linkedin.com/jobs/view/4418264797
2026-07-08 17:37,0,Ingénieur Automatisation de Tests (H/F),SII Group Belgium,"Brest, Brittany, France",linkedin,nan,https://www.linkedin.com/jobs/view/4436835624
2026-07-08 17:37,0,Infographiste H/F,Génération,"Quimper, Brittany, France",linkedin,nan,https://www.linkedin.com/jobs/view/4438194010
2026-07-08 17:37,0,Consultant Management de projet junior / Ingénieur projet H/F,MIGSO-PCUBED,"Brest, Brittany, France",linkedin,nan,https://www.linkedin.com/jobs/view/4434864163
2026-07-08 17:37,0,Développeur Fullstack Java / Vue.js (H/F),METALINE,"Brest, Brittany, France",linkedin,nan,https://www.linkedin.com/jobs/view/4437063433
2026-07-08 17:37,0,Conseiller-ère Services et Expériences Client (H/F) - Job étudiant / 12h sem,DECATHLON FRANCE,"Quimper, Brittany, France",linkedin,nan,https://www.linkedin.com/jobs/view/4437029014
2026-07-08 17:37,0,Analyste fonctionnel ERP finance - F/H,Accenture France,"Brest, Brittany, France",linkedin,nan,https://www.linkedin.com/jobs/view/4436874125
2026-07-08 17:37,0,Mesures physiques et automatisme H/F,CEA,"Quimper, Brittany, France",linkedin,2026-07-05,https://www.linkedin.com/jobs/view/4417154440
2026-07-08 17:37,0,Ingénieur en développement logiciel système critiques C/C++ (H/F),Thales,"Brest, Brittany, France",linkedin,2026-07-04,https://www.linkedin.com/jobs/view/4418030547
2026-07-08 17:37,0,Emploi étudiant,GOLF DE KERBERNEZ,"Plomelin, Brittany, France",linkedin,nan,https://www.linkedin.com/jobs/view/4438198856
2026-07-08 18:15,0,Développeur Java IA (H/F),SII Group Switzerland,"Brest, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4437819084
2026-07-08 18:15,0,Développeur Java IA (H/F),SII Group UK,"Brest, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4434554213
2026-07-08 18:15,0,Développeur Java IA (H/F),SII Czech Republic,"Brest, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4434547842
2026-07-08 18:15,0,Développeur Java IA (H/F),SII Germany,"Brest, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4437841255
2026-07-08 18:15,0,Data Analyst Sénior H/F,Crédit Mutuel Arkéa,"Le Relecq-Kerhuon, Brittany, France",linkedin,2026-07-06,https://www.linkedin.com/jobs/view/4426317092
2026-07-08 18:15,0,"Enseignant-chercheur en traitement numérique du signal et de limage, acquisition et analyse de données - Campus de Brest - H/F",ISEN Ouest (Yncréa),"Brest, Brittany, France",linkedin,2026-07-06,https://www.linkedin.com/jobs/view/4433934747
2026-07-08 18:15,0,Ingénieur IA - Cyber & Data,NEVERHACK,"Brest, Brittany, France",linkedin,2026-07-03,https://www.linkedin.com/jobs/view/4433716415
2026-07-08 18:15,48,Stagiaire IA Calculs de Charges d’Eoliennes / AI Turbine Loads internship - (H/F),Siemens Gamesa,"Île-de-Sein, Brittany, France",linkedin,2026-07-02,https://www.linkedin.com/jobs/view/4426144046
2026-07-08 18:15,0,Doctorant en informatique F/H,École Navale,"Lanvéoc, Brittany, France",linkedin,2026-07-01,https://www.linkedin.com/jobs/view/4434683057
2026-07-08 18:15,0,Développeur Java IA (H/F),SII Group Belgium,"Brest, Brittany, France",linkedin,nan,https://www.linkedin.com/jobs/view/4436851025
2026-07-08 18:15,0,STAGE Ingénieur(e) en ingénierie systèmes pour l’agriculture H/F,CEA,"Quimper, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4325847115
2026-07-08 20:02,0,Développeur Fullstack (H/F),SII Group UK,"Brest, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4434556195
2026-07-08 20:02,0,Développeur Fullstack (H/F),SII Group Switzerland,"Brest, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4437810561
2026-07-08 20:02,0,Développeur/se Full Stack – Défense et Sécurité – Brest,Sopra Steria,"Guipavas, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4437795870
2026-07-08 20:02,0,Chargé d'Études Risques H/F,Crédit Mutuel Arkéa,"Brest, Brittany, France",linkedin,2026-07-06,https://www.linkedin.com/jobs/view/4437176500
2026-07-08 20:02,0,Assistant(e) qualité en alternance (F/H),Clinique Mutualiste de Bretagne Occidentale,"Quimper, Brittany, France",linkedin,2026-07-06,https://www.linkedin.com/jobs/view/4436080562
2026-07-08 20:02,0,"VENDEUR/EUSE POLYVALENT, CDI 17H",MANGO,"Brest, Brittany, France",linkedin,2026-07-06,https://www.linkedin.com/jobs/view/4436220776
2026-07-08 20:02,0,Développeur Back End Java H/F,HELPLINE,"Brest, Brittany, France",linkedin,2026-07-06,https://www.linkedin.com/jobs/view/4433945939
2026-07-08 20:02,0,Alternant Chimiste ( H/F),Siemens Energy,"Landivisiau, Brittany, France",linkedin,2026-07-05,https://www.linkedin.com/jobs/view/4397606021
2026-07-08 20:02,0,Mesures physiques et automatisme H/F,CEA,"Quimper, Brittany, France",linkedin,2026-07-05,https://www.linkedin.com/jobs/view/4417154440
2026-07-08 20:02,0,Analyste financier d'entreprises H/F,Banque de France,"Brest, Brittany, France",linkedin,2026-07-05,https://www.linkedin.com/jobs/view/4432262201
2026-07-08 20:02,0,"Testeur QA - Brest, France  (H/F)",Astek,"Brest, Brittany, France",linkedin,2026-07-04,https://www.linkedin.com/jobs/view/4406080537
2026-07-08 20:02,0,Ingénieur en développement logiciel système critiques C/C++ (H/F),Thales,"Brest, Brittany, France",linkedin,2026-07-04,https://www.linkedin.com/jobs/view/4418030547
2026-07-08 20:02,0,Vendeur.se Brest CV - 25h/sem - CDI,Maison 123,"Brest, Brittany, France",linkedin,2026-07-03,https://www.linkedin.com/jobs/view/4435058133
2026-07-08 20:02,0,Employé commercial caisse (F/H) Idéal étudiant,Carrefour,"Quimper, Brittany, France",linkedin,2026-07-02,https://www.linkedin.com/jobs/view/4433119821
2026-07-08 20:02,0,Business Analyst F/H,HOUSE OF ABY,"Brest, Brittany, France",linkedin,2026-07-02,https://www.linkedin.com/jobs/view/4432723634
2026-07-08 20:02,0,Technicien.ne Support Ingénierie (F/H),Stryker,"Brest, Brittany, France",linkedin,nan,https://www.linkedin.com/jobs/view/4418264797
2026-07-08 20:02,0,Consultant transformation digitale en alternance - F/H Brest,Accenture France,"Brest, Brittany, France",linkedin,nan,https://www.linkedin.com/jobs/view/4436875112
2026-07-08 20:02,0,Ingénieur Calculs Eléments Finis (F/H),Thales,"Brest, Brittany, France",linkedin,nan,https://www.linkedin.com/jobs/view/4438200320
2026-07-08 20:02,0,Conseiller-ère Services et Expériences Client (H/F) - Job étudiant / 12h sem,DECATHLON FRANCE,"Quimper, Brittany, France",linkedin,nan,https://www.linkedin.com/jobs/view/4437029014
2026-07-08 20:02,0,Développeur Fullstack Java / Vue.js (H/F),METALINE,"Brest, Brittany, France",linkedin,nan,https://www.linkedin.com/jobs/view/4437063433
2026-07-08 20:02,0,"CONSEILLER ENTREPRISE ""TRANSITION NUMÉRIQUE & IA"" F/H",CCI Finistère,"Brest, Brittany, France",linkedin,nan,https://www.linkedin.com/jobs/view/4438168973
2026-07-08 20:02,0,Fullstack Software Engineer (x/f/m) - Care Expert Copilot,Alan,"Brest, Brittany, France",linkedin,nan,https://www.linkedin.com/jobs/view/4437154701
2026-07-08 21:40,0,Développeur Fullstack (H/F),SII Czech Republic,"Brest, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4434544949
2026-07-08 21:40,0,Développeur Fullstack (H/F),SII Group Belgium,"Brest, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4436846226
2026-07-08 21:40,0,Développeur Fullstack (H/F),SII Germany,"Brest, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4437832631
2026-07-08 21:40,0,Opérateur en centrale électrique (h/f) - Landivisiau,Siemens Energy,"Landivisiau, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4436831214
2026-07-08 21:40,0,Cheffe / Chef de projet technique,Capgemini,"Brest, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4424745895
2026-07-08 21:40,0,DevOps Cloud (F/H),SII Group Belgium,"Brest, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4436832690
2026-07-08 21:40,0,DevOps Cloud (F/H),SII Group Switzerland,"Brest, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4437820055
2026-07-08 21:40,0,DevOps Cloud (F/H),SII Group UK,"Brest, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4434542847
2026-07-08 21:40,0,DevOps Cloud (F/H),SII Germany,"Brest, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4437825780
2026-07-08 21:40,0,Ingénieur conception conversion énergie (F/H),Thales,"Brest, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4437826695
2026-07-08 21:40,0,Développeur DevOps C++ (H/F),ALTEN,"Brest, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4436591807
2026-07-08 21:40,0,CDI – Usineur-Tourneur/fraiseur -H/F,NAVAL GROUP,"Brest, Brittany, France",linkedin,2026-07-06,https://www.linkedin.com/jobs/view/4306198812
2026-07-08 21:40,0,Ingénieur de projets/Ingénieure de projets,Randstad Digital France,"Brest, Brittany, France",linkedin,2026-07-06,https://www.linkedin.com/jobs/view/4437188653
2026-07-08 21:40,0,Développeur/se Full Stack - Services Financiers - Brest,Sopra Steria,"Guipavas, Brittany, France",linkedin,2026-07-06,https://www.linkedin.com/jobs/view/4437406152
2026-07-08 21:40,0,"Chargé de mission MOA - Brest, France  (H/F)",Astek,"Brest, Brittany, France",linkedin,2026-07-04,https://www.linkedin.com/jobs/view/4357880134
2026-07-08 21:40,0,Team Leader Test et Intégration (H/F),Thales,"Brest, Brittany, France",linkedin,2026-07-03,https://www.linkedin.com/jobs/view/4417334769
2026-07-08 21:40,0,Ingénieur DevOps / Cloud Azure H/F,Hays,"Concarneau, Brittany, France",linkedin,2026-07-02,https://www.linkedin.com/jobs/view/4432784531
2026-07-08 21:40,0,Administrateur Systèmes et Sécurité (H/F),Thales,"Brest, Brittany, France",linkedin,2026-07-02,https://www.linkedin.com/jobs/view/4408254311
2026-07-08 21:40,0,"Développeur Cobol - Brest, France  (H/F)",Astek,"Brest, Brittany, France",linkedin,2026-07-02,https://www.linkedin.com/jobs/view/4243319598
2026-07-08 21:40,0,Enseignant-chercheur en mécanique en génie maritime,ENSTA,"Brest, Brittany, France",linkedin,nan,https://www.linkedin.com/jobs/view/4409900488
2026-07-09 08:35,0,Vendeur H/F,Feu Vert France,"Quimper, Brittany, France",linkedin,2026-07-08,https://www.linkedin.com/jobs/view/4436886656
2026-07-09 08:35,0,Risk Manager – Valorisation et Risques de Marché H/F,Arkéa Asset Management,"Le Relecq-Kerhuon, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4437793031
2026-07-09 08:35,0,Employé(e) de cafétéria H/F,Sodexo,"Concarneau, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4436812184
2026-07-09 08:35,0,Conseiller Economique Agricole,Cooperl,"Gouézec, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4427835724
2026-07-09 08:35,0,Assistant(e) administratif(ve) H/F,BELFOR (France),"Quimper, Brittany, France",linkedin,2026-07-06,https://www.linkedin.com/jobs/view/4434505159
2026-07-09 08:35,0,Chef de Projet (H/F/X),IT Link Group,"Brest, Brittany, France",linkedin,2026-07-02,https://www.linkedin.com/jobs/view/4415912490
2026-07-09 08:35,0,"Employée, employé de caisse accueil",Monoprix,"Quimper, Brittany, France",linkedin,nan,https://www.linkedin.com/jobs/view/4437328618
2026-07-09 08:35,0,Consultant Management de projet junior / Ingénieur projet H/F,MIGSO-PCUBED,"Brest, Brittany, France",linkedin,nan,https://www.linkedin.com/jobs/view/4434864163
2026-07-09 08:35,0,Assistant approvisionnement,TECHNATURE,"Le Relecq-Kerhuon, Brittany, France",linkedin,nan,https://www.linkedin.com/jobs/view/4438196238
2026-07-09 08:35,0,employé(e) d'étage,Accor,"Brest, Brittany, France",linkedin,nan,https://www.linkedin.com/jobs/view/4437058250
2026-07-09 08:35,0,Ingénieur Automatisation de Tests (H/F),SII Czech Republic,"Brest, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4434551401
2026-07-09 08:35,0,Ingénieur Automatisation de Tests (H/F),SII Germany,"Brest, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4437836419
2026-07-09 08:35,0,Ingénieur Automatisation de Tests (H/F),SII Group UK,"Brest, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4434544800
2026-07-09 08:35,0,Ingénieur Automatisation de Tests (H/F),SII Group Belgium,"Brest, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4436835624
2026-07-09 08:35,0,ALTERNANCE - 1 an - Facilitateur IT H/F/X,Crédit Mutuel Arkéa,"Brest, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4429576330
2026-07-09 08:35,0,Alternance 12 à 24 mois - Assistant(e) communication (H/F),OCP Répartition,"Brest, Brittany, France",linkedin,2026-07-06,https://www.linkedin.com/jobs/view/4428878864
2026-07-09 08:35,0,Alternance 12 à 24 mois - Assistant(e) communication (H/F),PHOENIX OCP,"Brest, Brittany, France",linkedin,2026-07-06,https://www.linkedin.com/jobs/view/4428857688
2026-07-09 08:35,0,secrétaire médical(e),IRSS,"Landerneau, Brittany, France",linkedin,2026-07-02,https://www.linkedin.com/jobs/view/4436441060
2026-07-09 08:35,0,Emploi étudiant,GOLF DE KERBERNEZ,"Plomelin, Brittany, France",linkedin,nan,https://www.linkedin.com/jobs/view/4438198856
2026-07-09 08:35,0,Infographiste H/F,Génération,"Quimper, Brittany, France",linkedin,nan,https://www.linkedin.com/jobs/view/4438194010
2026-07-09 11:30,0,Expert Business Process Management (BPM) H/F,Crédit Mutuel Arkéa,"Le Relecq-Kerhuon, Brittany, France",linkedin,2026-07-06,https://www.linkedin.com/jobs/view/4424191561
2026-07-09 11:30,0,Ingénieur-e traitement du signal Health Monitoring F/H,Safran,"Île-de-Sein, Brittany, France",linkedin,nan,https://www.linkedin.com/jobs/view/4435647655
2026-07-09 11:30,0,Laborantin (H/F),Cooperl,"Landivisiau, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4433120479
2026-07-09 11:30,0,Ingénieur Essais & Intégration (H/F),ALTEN,"Brest, Brittany, France",linkedin,2026-07-07,https://www.linkedin.com/jobs/view/4436595805
2026-07-09 11:30,0,Hardware Integration Engineer - F/H/N,OVHcloud,"Brest, Brittany, France",linkedin,nan,https://www.linkedin.com/jobs/view/4437370988
2026-07-09 11:30,0,Ingénieur Intégration Validation (H/F),SEGULA Technologies,"Concarneau, Brittany, France",linkedin,nan,https://www.linkedin.com/jobs/view/4429969516
2026-07-09 13:40,50,Stage - Data Scientist (H/F) - 6 mois,BNP Paribas,Levallois,wttj,2026-07-04T00:00:00.000+02:00,https://www.welcometothejungle.com/fr/companies/bnp-paribas/jobs/stage-data-scientist-h-f-6-mois_levallois
2026-07-09 13:40,40,Stage Data Scientist,Ace Énergie,Paris,wttj,2026-07-01T16:00:00.000+02:00,https://www.welcometothejungle.com/fr/companies/ace-energie/jobs/data-scientist_paris
2026-07-09 13:40,40,Stage - Actuaire / Data Scientist,Redion Holding,Saint-Denis,wttj,2026-06-05T00:00:00.000+02:00,https://www.welcometothejungle.com/fr/companies/europ-assistance-holding/jobs/stage-actuaire-data-scientist_saint-denis
2026-07-09 13:40,100,Stage - 6 mois - Data Scientist Generative AI F/H,Natixis,Paris,wttj,2026-07-06T11:00:00.000+02:00,https://www.welcometothejungle.com/fr/companies/natixis/jobs/stage-6-mois-data-scientist-generative-ai-f-h_paris_NATIX_A0oYmjb
2026-07-09 13:40,100,Stage – AI & Data Scientist,Polynom,Rueil-Malmaison,wttj,2026-07-06T09:00:00.000+02:00,https://www.welcometothejungle.com/fr/companies/polynom/jobs/stage-data-scientist_rueil-malmaison
2026-07-09 13:40,50,Stage - 6 mois - Data Scientist F/H,BPCE Assurances IARD,Paris,wttj,2026-05-22T17:00:00.000+02:00,https://www.welcometothejungle.com/fr/companies/bpce-assurances/jobs/stage-6-mois-data-scientist-f-h_paris_BAI_AwkANzL
2026-07-09 13:40,52,Stage Septembre 2026 Business Data Scientist - Marketing effectiveness(H/F/N),Ekimetrics,Paris,wttj,2026-06-10T02:00:00.000+02:00,https://www.welcometothejungle.com/fr/companies/ekimetrics/jobs/stage-septembre-2026-business-data-scientist-marketing-effectiveness-h-f-n_paris
2026-07-09 13:40,88,DATA SCIENTIST - IA agentique (stage),datacraft,Paris,wttj,2026-07-06T16:00:00.000+02:00,https://www.welcometothejungle.com/fr/companies/datacraft/jobs/data-scientist-ia-agentique-stage_paris
2026-07-09 13:40,55,Data Scientist  (H/F) | Stage,Liora,Courbevoie,wttj,2026-07-06T16:00:00.000+02:00,https://www.welcometothejungle.com/fr/companies/datascientest/jobs/data-scientist-stage_puteaux
2026-07-09 13:40,40,Data Scientist (H/F) - Stage,Allianz France,Courbevoie,wttj,2026-06-24T02:00:00.000+02:00,https://www.welcometothejungle.com/fr/companies/allianz/jobs/data-scientist-h-f-stage_courbevoie_AF_mYNjZ8V
2026-07-09 13:40,40,Data scientist (F/H) - stage,AXA,Nanterre,wttj,2025-10-21T03:00:00.000+02:00,https://www.welcometothejungle.com/fr/companies/axa/jobs/data-scientist-f-h-stage_nanterre
2026-07-09 13:40,66,Data Scientist (H/F) - Analytics - Stage 6 mois (stage de fin d'études),Allphins,Paris,wttj,2026-07-08T17:00:00.000+02:00,https://www.welcometothejungle.com/fr/companies/allphins/jobs/data-business-analyst-h-f-stage-4-a-6-mois-teletravail-occasionnel_paris
2026-07-09 13:40,64,DATA SCIENTIST - IA de confiance (stage),datacraft,Paris,wttj,2026-07-06T16:00:00.000+02:00,https://www.welcometothejungle.com/fr/companies/datacraft/jobs/data-scientist-ia-de-confiance-stage_paris
2026-07-09 13:40,100,Data Scientist & Développeur Python (Stage 6 mois),Dataleon,Paris,wttj,2026-06-25T16:00:00.000+02:00,https://www.welcometothejungle.com/fr/companies/young-app/jobs/data-scientist-developpeur-python-stage-6-mois_paris
2026-07-09 13:40,40,Data Scientist / Engineer (F/H) stage,AXA,Nanterre,wttj,2025-10-16T03:00:00.000+02:00,https://www.welcometothejungle.com/fr/companies/axa/jobs/data-scientist-engineer-f-h-stage_nanterre
2026-07-09 13:40,66,Data Scientist (H/F) - Core platform - Stage 6 mois (stage de fin d'études),Allphins,Paris,wttj,2026-07-08T17:00:00.000+02:00,https://www.welcometothejungle.com/fr/companies/allphins/jobs/data-scientist-h-f-stage-6-mois-teletravail-possible_paris
2026-07-09 13:40,94,Data Scientist IA générative (F/H) stage,AXA,Nanterre,wttj,2025-10-17T03:00:00.000+02:00,https://www.welcometothejungle.com/fr/companies/axa/jobs/data-scientist-ia-generative-f-h-stage_nanterre
2026-07-09 13:40,40,Data Scientist - Internship,Cure51,Paris,wttj,2026-06-29T11:00:00.000+02:00,https://www.welcometothejungle.com/fr/companies/cure51/jobs/data-scientist-internship_paris
2026-07-09 13:40,0,Data Scientist H/F,Crédit Agricole CIB,Montrouge,wttj,2026-06-23T00:00:00.000+02:00,https://www.welcometothejungle.com/fr/companies/credit-agricole-cib/jobs/data-scientist-h-f_montrouge_CAC_rZXZYXR
2026-07-09 13:40,40,Internship – Data Scientist – Conseil en stratégie & transition environnementale,Blunomy,Paris,wttj,2026-06-08T17:00:00.000+02:00,https://www.welcometothejungle.com/fr/companies/enea-consulting/jobs/internship-data-scientist-conseil-en-strategie-transition-environnementale_paris
2026-07-09 13:40,40,Final year internship - Marketing Data Scientist,Sia,Paris,wttj,2026-06-08T16:00:00.000+02:00,https://www.welcometothejungle.com/fr/companies/nod-a/jobs/final-year-internship-marketing-data-scientist_paris_SIA_aNJyg0V
2026-07-09 13:40,64,Final year internship - Data Scientist & AI Consultant,Sia,Paris,wttj,2026-06-08T15:00:00.000+02:00,https://www.welcometothejungle.com/fr/companies/nod-a/jobs/final-year-internship-data-scientist-ai-consultant_paris_SIA_JwKYkYQ
2026-07-09 13:40,64,Data Scientist Intern (2024),Artefact,Paris,wttj,2026-05-27T00:00:00.000+02:00,https://www.welcometothejungle.com/fr/companies/artefact/jobs/data-scientist-intern-2024_paris
2026-07-09 13:40,79,"Data Scientist Junior - IA, Geo-Data & Carbone (stage) ",NEXQT,Paris,wttj,2024-08-26T15:00:00.000+02:00,https://www.welcometothejungle.com/fr/companies/nexqt/jobs/data-scientist-junior-ia-geo-data-carbone-stage_paris
2026-07-09 13:40,34,Stage - 6 mois - IA Data Analyst F/H,Natixis,Paris,wttj,2026-07-07T17:00:00.000+02:00,https://www.welcometothejungle.com/fr/companies/natixis/jobs/stage-6-mois-ia-data-analyst-f-h_paris
2026-07-09 13:40,12,Marketing & Data Strategy - Stage,JAKALA,Paris,wttj,2026-06-03T16:00:00.000+02:00,https://www.welcometothejungle.com/fr/companies/soyhuce/jobs/marketing-data-strategy-stage_paris
2026-07-09 13:40,30,Stage en intelligence artificielle générative H/F,SpinPart,Paris,wttj,2026-07-06T15:00:00.000+02:00,https://www.welcometothejungle.com/fr/companies/spinpart/jobs/stage-en-intelligence-artificielle-generative-h-f_paris
